CP,Localidad
1244,CABA - San Cristobal
1245,CABA - San Cristobal
1246,CABA - San Cristobal
1247,CABA - San Cristobal
1248,CABA - San Cristobal
1249,CABA - San Cristobal
1250,CABA - Almagro
1251,CABA - San Cristobal
1252,CABA - San Cristobal
1253,CABA - San Cristobal
1254,CABA - San Cristobal
1255,CABA - Parque Patricios
1256,CABA - Parque Patricios
1257,CABA - Almagro
1258,CABA - San Cristobal
1259,CABA - San Cristobal
1260,CABA - San Cristobal
1261,CABA - Parque Patricios
1262,CABA - Parque Patricios
1263,CABA - Parque Patricios
1264,CABA - Parque Patricios
1265,CABA - Constitucion
1266,CABA - Constitucion
1267,CABA - Constitucion
1268,CABA - Constitucion
1269,CABA - Barracas
1270,CABA - Barracas
1271,CABA - Barracas
1272,CABA - Barracas
1273,CABA - Barracas
1274,CABA - Barracas
1275,CABA - Constitucion
1276,CABA - Barracas
1277,CABA - Barracas
1278,CABA - Barracas
1279,CABA - Barracas
1280,CABA - Barracas
1281,CABA - Barracas
1282,CABA - Barracas
1283,CABA - Constitucion
1284,CABA - Barracas
1285,CABA - Barracas
1286,CABA - Barracas
1287,CABA - Barracas
1288,CABA - Barracas
1289,CABA - Barracas
1290,CABA - Barracas
1291,CABA - Barracas
1292,CABA - Barracas
1293,CABA - Barracas
1294,CABA - Barracas
1295,CABA - Barracas
1296,CABA - Barracas
1298,Ciudad Autonoma Buenos Aires
1300,Ciudad Autonoma Buenos Aires
1301,Ciudad Autonoma Buenos Aires
1302,Ciudad Autonoma Buenos Aires
1303,Ciudad Autonoma Buenos Aires
1304,Ciudad Autonoma Buenos Aires
1305,Ciudad Autonoma Buenos Aires
1306,Ciudad Autonoma Buenos Aires
1307,Ciudad Autonoma Buenos Aires
1308,Ciudad Autonoma Buenos Aires
1309,Ciudad Autonoma Buenos Aires
1310,Ciudad Autonoma Buenos Aires
1311,Ciudad Autonoma Buenos Aires
1312,Ciudad Autonoma Buenos Aires
1313,Ciudad Autonoma Buenos Aires
1314,Ciudad Autonoma Buenos Aires
1315,Ciudad Autonoma Buenos Aires
1316,Ciudad Autonoma Buenos Aires
1317,Ciudad Autonoma Buenos Aires
1318,Ciudad Autonoma Buenos Aires
1319,Ciudad Autonoma Buenos Aires
1320,Ciudad Autonoma Buenos Aires
1321,Ciudad Autonoma Buenos Aires
1322,Ciudad Autonoma Buenos Aires
1323,Ciudad Autonoma Buenos Aires
1324,Ciudad Autonoma Buenos Aires
1325,Ciudad Autonoma Buenos Aires
1326,Ciudad Autonoma Buenos Aires
1327,Ciudad Autonoma Buenos Aires
1328,Ciudad Autonoma Buenos Aires
1329,Ciudad Autonoma Buenos Aires
1330,Ciudad Autonoma Buenos Aires
1331,Ciudad Autonoma Buenos Aires
1332,Ciudad Autonoma Buenos Aires
1333,Ciudad Autonoma Buenos Aires
1334,Ciudad Autonoma Buenos Aires
1335,Ciudad Autonoma Buenos Aires
1336,Ciudad Autonoma Buenos Aires
1337,Ciudad Autonoma Buenos Aires
1338,Ciudad Autonoma Buenos Aires
1339,Ciudad Autonoma Buenos Aires
1340,Ciudad Autonoma Buenos Aires
1341,Ciudad Autonoma Buenos Aires
1342,Ciudad Autonoma Buenos Aires
1343,Ciudad Autonoma Buenos Aires
1344,Ciudad Autonoma Buenos Aires
1345,Ciudad Autonoma Buenos Aires
1346,Ciudad Autonoma Buenos Aires
1347,Ciudad Autonoma Buenos Aires
1348,Ciudad Autonoma Buenos Aires
1349,Ciudad Autonoma Buenos Aires
1350,Ciudad Autonoma Buenos Aires
1351,Ciudad Autonoma Buenos Aires
1352,Ciudad Autonoma Buenos Aires
1353,Ciudad Autonoma Buenos Aires
1354,Ciudad Autonoma Buenos Aires
1355,Ciudad Autonoma Buenos Aires
1356,Ciudad Autonoma Buenos Aires
1357,Ciudad Autonoma Buenos Aires
1358,Ciudad Autonoma Buenos Aires
1359,Ciudad Autonoma Buenos Aires
1360,Ciudad Autonoma Buenos Aires
1361,Ciudad Autonoma Buenos Aires
1362,Ciudad Autonoma Buenos Aires
1363,Ciudad Autonoma Buenos Aires
1364,Ciudad Autonoma Buenos Aires
1365,Ciudad Autonoma Buenos Aires
1366,Ciudad Autonoma Buenos Aires
1367,Ciudad Autonoma Buenos Aires
1368,Ciudad Autonoma Buenos Aires
1369,Ciudad Autonoma Buenos Aires
1370,Ciudad Autonoma Buenos Aires
1371,Ciudad Autonoma Buenos Aires
1372,Ciudad Autonoma Buenos Aires
1373,Ciudad Autonoma Buenos Aires
1374,Ciudad Autonoma Buenos Aires
1375,Ciudad Autonoma Buenos Aires
1376,Ciudad Autonoma Buenos Aires
1377,Ciudad Autonoma Buenos Aires
1378,Ciudad Autonoma Buenos Aires
1379,Ciudad Autonoma Buenos Aires
1380,Ciudad Autonoma Buenos Aires
1381,Ciudad Autonoma Buenos Aires
1382,Ciudad Autonoma Buenos Aires
1383,Ciudad Autonoma Buenos Aires
1384,Ciudad Autonoma Buenos Aires
1385,Ciudad Autonoma Buenos Aires
1386,Ciudad Autonoma Buenos Aires
1387,Ciudad Autonoma Buenos Aires
1388,Ciudad Autonoma Buenos Aires
1389,Ciudad Autonoma Buenos Aires
1390,Ciudad Autonoma Buenos Aires
1391,Ciudad Autonoma Buenos Aires
1392,Ciudad Autonoma Buenos Aires
1393,Ciudad Autonoma Buenos Aires
1394,Ciudad Autonoma Buenos Aires
1395,Ciudad Autonoma Buenos Aires
1396,Ciudad Autonoma Buenos Aires
1397,Ciudad Autonoma Buenos Aires
1398,Ciudad Autonoma Buenos Aires
1399,Ciudad Autonoma Buenos Aires
1400,Ciudad Autonoma Buenos Aires
1401,Ciudad Autonoma Buenos Aires
1402,Ciudad Autonoma Buenos Aires
1405,CABA - Villa Crespo
1406,CABA - Flores
1407,CABA - Velez Sarfield
1408,CABA - Liniers
1409,Ciudad Autonoma Buenos Aires
1410,Ciudad Autonoma Buenos Aires
1411,Ciudad Autonoma Buenos Aires
1412,Ciudad Autonoma Buenos Aires
1413,Ciudad Autonoma Buenos Aires
1414,CABA - Caballito
1416,CABA - Villa Gral. Mitre
1417,CABA - Villa Devoto
1419,CABA - Saavedra
1420,Ciudad Autonoma Buenos Aires
1421,Ciudad Autonoma Buenos Aires
1422,Ciudad Autonoma Buenos Aires
1423,Ciudad Autonoma Buenos Aires
1424,CABA - Parque Chacabuco
1425,CABA - Palermo
1426,CABA - Colegiales
1427,CABA - Chacarita
1428,CABA - Belgrano
1429,CABA - Nuñez
1430,CABA - Villa Ortuzar
1431,CABA - Villa Urquiza
1432,Ciudad Autonoma Buenos Aires
1433,Ciudad Autonoma Buenos Aires
1434,Ciudad Autonoma Buenos Aires
1435,Ciudad Autonoma Buenos Aires
1436,Ciudad Autonoma Buenos Aires
1437,CABA - Nueva Pompeya
1439,CABA - Villa Lugano
1440,CABA - Mataderos
1453,Ciudad Autonoma Buenos Aires
1599,Ciudad Autonoma Buenos Aires
1602,Florida
1603,Villa Martelli
1604,Florida Oeste
1605,Munro
1606,Carapachay
1607,Villa Adelina
1608,Troncos Del Talar
1609,Boulogne
1610,Ricardo Rojas
1611,Don Torcuato
1612,Ingeniero Adolfo Sourdeaux
1613,Los Polvorines
1614,Villa De Mayo
1615,Grand Bourg
1616,Malvinas Argentinas
1616,Pablo Nogues
1617,General Pacheco
1618,El Talar
1619,Garin
1620,Maquinista F Savio
1621,Benavidez
1621,Delta
1622,Dique Lujan
1622,Lopez Camelo
1623,Ingeniero Maschwitz
1624,Rincon De Milberg
1625,Barrio El Cazador
1625,Belen De Escobar
1625,Casa Escobar
1625,Escobar
1626,Barrio El Cazador
1627,Matheu
1627,Zelaya
1628,Loma Verde
1629,Pilar
1630,Pilar
1631,Villa Rosa
1632,Manzanares
1633,Fatima
1633,Fatima Estacion
1633,Manzone
1633,Villa Astolfi
1634,Pilar
1635,Km. 45
1635,Presidente Derqui
1636,Olivos
1637,La Lucila
1637,Olivos
1638,Vicente Lopez
1639,Martinez
1640,Martinez
1641,Acassuso
1642,San Isidro
1643,Beccar
1644,Victoria
1645,Virreyes
1646,San Fernando
1647,A Baltazar Chico
1647,A Bravo Gutierrez
1647,A Bzo De La Tinta
1647,A Des D Gutierres
1647,A Desg Del Sauce
1647,A Gutierrez Chico
1647,A Paciencia Chico
1647,A Paciencia Grande
1647,A Perdido Ceibo
1647,A Perdido Mosquito
1647,A Sagastume Chico
1647,A Sagastume Grande
1647,Aero Club Canal
1647,Arroyo Baltazar
1647,Arroyo Boca Falsa
1647,Arroyo Brazo Chico
1647,Arroyo Carbon
1647,Arroyo Carboncito
1647,Arroyo Carpincho
1647,Arroyo Correntoso
1647,Arroyo Cuzco
1647,Arroyo De La Rosa
1647,Arroyo La Tinta
1647,Arroyo Malambo
1647,Arroyo Martinez
1647,Arroyo Negro
1647,Arroyo Pelado
1647,Arroyo Piedras
1647,Arroyo Qancay
1647,Arroyo Ss Chico
1647,Arroyo Ss Grande
1647,Arroyo Tiroles
1647,Brazo Largo
1647,Canal Nuevo
1647,Canal San Martin
1647,Delta San Fernando
1647,La Chilena Canal
1647,La Chilena Zanja
1647,Paranacito Rio
1647,Rio Paranacito
1648,Carupa
1648,Tigre
1649,Arroyo Bicho Feo
1649,Arroyo Ceibito
1649,Arroyo Cucharas
1649,Arroyo Garcete
1649,Arroyo Lara
1649,Arroyo Las Animas
1649,Arroyo Llorones
1649,Arroyo Manzano
1649,Arroyo Merlo
1649,Arroyo Mosquito
1649,Arroyo Pereyra
1649,Arroyo Pito
1649,Arroyo Platitos
1649,Lobos Arroyo
1649,Sauce Rio
1649,Tigre
1649,Z Delta S Fernando
1650,Billinghurst
1650,Fernandez Moreno
1650,General San Martin
1650,Lourdes
1650,Migueletes
1650,San Martin
1650,Villa Libertad
1650,Villa Maipu
1651,San Andres
1651,Villa Zagala
1652,Tres De Febrero
1653,Malaver
1653,Villa Ballester
1654,San Martin
1655,Chilavert
1655,Jose Leon Suarez
1657,Loma Hermosa
1657,Pablo Podesta
1657,Remedios De Escalada - Tres De Febrero
1659,Campo De Mayo
1660,Jose Clemente Paz
1661,Bella Vista
1662,Muñiz
1663,San Miguel
1664,Manuel Alberti
1664,Trujui
1665,Jose Clemente Paz
1666,Jose Clemente Paz
1667,Alberti
1667,Tortuguitas
1669,Del Viso
1670,Nordelta Tigre
1672,Villa Lynch
1674,Villa Saenz Peña
1675,Villa Raffo
1676,Santos Lugares
1678,Caseros
1682,Martin Coronado
1682,Villa Bosch
1683,Martin Coronado
1684,Ciudad Jardin Del Palomar
1684,El Palomar
1685,Ciudad Jardin El Palomar
1685,El Palomar
1686,Hurlingham
1686,William Morris
1687,Pablo Podesta
1688,Villa Santos Tesei
1688,Villa Tesey
1689,Remedios De Escalada
1689,Villa Tessei
1690,Once De Setiembre
1691,Churruca
1692,El Libertador
1701,Ciudadela
1702,Ciudadela
1703,Jose Ingenieros
1704,Ramos Mejia
1706,Haedo
1707,Domingo Faustino Sarmiento
1708,Moron
1710,Castelar
1712,Castelar
1713,Villa Gobernador Udaondo
1714,Ituzaingo
1715,Barrio Parque Leloir
1716,Libertad
1717,General Rodriguez
1718,San Antonio De Padua
1721,Parque San Martin
1722,Merlo
1723,Agustin Ferrari
1723,Mariano Acosta
1724,Mariano Acosta
1727,Marcos Paz
1731,Villars
1733,Plomer
1735,9 De Abril
1735,El Durazno
1736,Trujui
1737,Kilometro 77
1737,Km 77
1737,La Choza
1738,La Reja
1739,Estacion General Hornos
1740,Cuartel V
1741,Enrique Fynn
1741,General Hornos
1741,General Las Heras
1741,Kilometro 79
1741,Lozano
1741,Parada Km 76
1741,Plomer
1741,Speratti
1742,Paso Del Rey
1743,Moreno
1744,Moreno
1745,La Reja
1746,Francisco Alvarez
1747,General Rodriguez
1748,General Rodriguez
1748,Las Malvinas
1749,General Rodriguez
1750,Las Malvinas
1751,Villa Insuperable
1752,Lomas Del Mirador
1753,Villa Luzuriaga
1754,San Justo
1755,Rafael Castillo
1756,Isidro Casnova
1757,Gregorio De La Ferrere
1757,Gregorio De Laferrere
1758,Gonzalez Catan
1759,Gonzalez Catan
1761,Pontevedra
1763,Virrey Del Pino
1764,Virrey Del Pino
1765,Isidro Casanova
1766,Tablada
1768,Ciudad De Eduardo Madero
1768,Ciudad Madero
1770,Aldo Bonzi
1770,Tapiales
1771,Mercado Central
1772,Villa Celina
1773,Ingeniero Budge
1774,La Salada
1776,9 De Abril
1776,Villa Transradio
1778,Ciudad Evita
1780,B Nuestra Señora De La Paz
1781,Barrio Santa Catalina
1782,M Paz Barrio Martin Fierro
1783,M Paz Barrio La Lonja
1784,M Paz Barrio La Milagrosa
1785,Aldo Bonzi
1786,20 De Junio
1787,M Paz Barrio El Moro
1788,M Paz Barrio Urioste
1789,B Sarmiento Don Rolando
1789,Barrio Sarmiento Don Rolando
1790,M Paz Barrio El Martillo
1791,M Paz Barrio Bernasconi
1792,Barrio Los Aromos San Patricio
1793,Barrio El Zorzal
1793,Marcos Paz B El Zorzal
1801,Canning
1802,Aeropuerto Ezeiza
1803,La Union
1804,Ezeiza
1804,Union Ferroviaria
1805,El Jaguel
1806,Canning
1806,Tristan Suarez
1807,Canning
1808,Vicente Casares
1809,Maximo Paz
1809,Temperley
1811,Alejandro Petion
1812,Carlos Spegazzini
1812,Maximo Paz
1813,Carlos Spegazzini
1814,Cañuelas
1815,Uribelarrea
1816,Colonia Santa Rosa
1816,Los Aromos
1816,Ruta 205 Kilometro 57
1816,Ruta 3 Kilometro 75 700
1816,Villa Adriana
1821,Banfield
1822,Valentin Alsina
1822,Villa Caraza
1822,Villa Diamante
1823,Gerli
1824,Lanus
1825,Monte Chingolo
1826,Remedios De Escalada
1827,Banfield
1828,Banfield
1829,Villa Albertina
1831,Villa Fiorito
1832,Lomas De Zamora
1833,Turdera
1834,Temperley
1835,America Unida
1835,Temperley
1836,Llavallol
1837,Sourigues
1838,Luis Guillon
1839,9 De Abril
1840,Ezpeleta Oeste
1841,Monte Grande
1842,El Jaguel
1842,Esteban Echeverria
1842,Monte Grande
1843,Solano
1844,San Jose
1845,Jose Marmol
1846,Adrogue
1846,Almirante Brown
1846,San Jose
1847,Rafael Calzada
1848,Ministro Rivadavia
1849,Claypole
1850,Barrio Don Orione
1851,Malvinas Argentinas
1852,Burzaco
1853,Villa Vatteone
1854,Longchamps
1855,Villa La Florida
1856,Glew
1857,Pereyra
1858,Villa Numancia
1859,Gobernador Costa
1860,Villa España
1861,Platanos
1862,Guernica
1863,Zeballos
1864,Alejandro Korn
1865,San Vicente
1866,El Pampero
1867,Santa Rosa
1868,Piñeyro
1869,Gerli
1870,Avellaneda
1871,Dock Sud
1872,Sarandi
1873,Crucesita
1874,Villa Dominico
1875,Wilde
1876,Bernal Este
1876,Bernal Oeste
1876,Quilmes
1877,Don Bosco
1878,Quilmes
1879,Quilmes Oeste
1880,Berazategui
1881,San Francisco Solano
1881,Villa La Florida
1882,Ezpeleta Este
1883,Bernal Oeste
1884,Berazategui
1885,Guillermo E Hudson
1886,Ranelagh
1887,Florencio Varela
1888,Florencio Varela
1889,Bosques
1889,Km. 40
1890,Jose Maria Gutierrez
1891,Ingeniero Allan
1892,Villa Brown
1893,Centro Agricola El Pato
1894,Pereyra
1894,Villa Elisa
1895,Arturo Segui
1896,City Bell
1897,Gonnet
1897,Manuel B Gonnet
1898,Gonnet
1898,Joaquin Gorina
1900,La Plata
1900,Los Hornos
1900,Tolosa
1901,Estacion Moreno
1901,Lisandro Olmos Etcheverry
1901,Ringuelet
1902,La Plata
1903,Abasto
1903,Buchanan
1903,Jose Hernandez
1903,Melchor Romero
1904,La Plata
1905,Poblet
1906,La Plata
1907,El Carmen
1907,La Plata
1908,La Plata
1909,Arana
1910,La Plata
1911,Bartolome Bavio
1911,Bme B G Mansilla
1911,Bme Bavio Gral Mansilla
1911,General Mansilla
1911,Jose Ferrari
1911,Kilometro 92
1912,La Plata
1913,Cristino Benavidez
1913,Julio Arditi
1913,Magdalena
1913,Payro R
1914,La Plata
1915,Arbuco
1915,Kilometro 103
1915,Paraje Starache
1915,Roberto Payro
1915,Vieytes
1916,La Plata
1916,Malvinas Argentinas
1917,Luis Chico
1917,Monte Veloz
1917,Veronica
1918,Estacion Gomez
1919,B A Punta Indio
1919,Punta Indio
1921,Alvarez Jonte
1921,Colonia Beethoven
1921,El Rosario
1921,La Primavera
1921,La Talina
1921,Las Tahonas
1921,Los Santos Viejos
1921,Pancho Diaz
1921,Pipinas
1921,Rincon De Noario
1923,Berisso
1924,Beriso
1924,Berisso
1925,Ensenada
1925,Fuerte Barragan
1926,Ensenada
1927,Escuela Naval Militar Rio Santiago
1929,Isla Santiago
1931,Punta Lara
1933,Abasto
1935,Estacion Moreno
1942,Los Talas
1947,Atalaya
1948,Empalme Magdalena
1952,Punta Indio
1954,Pipinas
1972,Oliden
1980,Campo Lope Seco
1980,Coronel Brandsen
1980,Doyhenard
1980,Kilometro 44
1980,Kilometro 82
1980,La Posada
1980,Los Merinos
1981,B Las Mandarinas
1981,Barrio La Dolly
1981,Desvio Km 55
1981,G Obligado
1981,Kilometro 58
1981,Kilometro 70
1981,Loma Verde
1981,Samborombon
1983,Gomez
1983,Gomez  De La Vega
1983,Gomez  De La Vega
1984,Domselaar
1986,Altamirano
1986,Jeppener
1987,Alegre
1987,Cancha Del Pollo
1987,Cuartel 2
1987,Espartillar
1987,Ranchos
2000,Rosario
2000,Villa Angelica
2001,Rosario
2002,Rosario
2003,Rosario
2004,Rosario
2005,Rosario
2006,Rosario
2007,Rosario
2008,Rosario
2009,Rosario
2010,Rosario
2011,Rosario
2012,Rosario
2013,Rosario
2014,Rosario
2015,Loma Verde
2015,Rosario
2020,Zelaya
2025,Manzanares
2032,Villa Astolfi
2045,La Fraternidad
2046,Las Malvinas
2100,Charigue
2101,Albarellos
2101,Monte Flores
2102,Villa Amelia
2103,Coronel Bogado
2103,Juan B. Molina
2103,Stephenson
2104,Juan B Molina
2105,Cañada Rica
2105,Coronel Dominguez
2105,La Carolina
2105,La Vanguardia
2105,Los Muchachos
2105,Pereyra Lucena
2105,Sargento Cabral
2105,Uranga
2106,Sargento Cabral
2107,Alvarez
2107,Soldini
2108,Rosario
2108,Soldini
2109,Acebal
2109,Campo Rueda
2109,Carmen Del Sauce
2110,Pavon Arriba
2111,Francisco Paz
2111,Santa Teresa
2112,Uranga
2113,Peyrano
2114,Coronel Dominguez
2115,Colonia Valdez
2115,La Celia
2115,La Othilia
2115,Maximo Paz
2115,Rodolfo Alcorta
2117,Alcorta
2117,Loma Verde
2117,Pueblo Alcorta
2118,Cepeda
2118,Empalme Villa Constitucion
2118,Pavon
2118,Theobad
2119,Arminda
2119,Bernard
2119,Erasto
2119,Estacion Erasto
2119,Maizales
2119,Piñero
2120,Pueblo Muñoz
2121,Perez
2122,Pujato
2123,Campo Calvo
2123,Villa Porucci
2123,Colonia Clodomira
2123,Coronel Arnold
2123,Fuentes
2123,Pujato
2123,Zavalla
2124,Pueblo Nuevo
2124,Villa Gobernador Galvez
2124,Villa San Diego
2125,Zavalla
2126,Alvear
2126,Fighiera
2126,Pueblo Esther
2127,General Lagos
2127,Rosario
2128,Arroyo Seco
2128,Posta De San Martin
2129,Pueblo Esther
2130,Alvear
2130,Rosario
2131,Coronel Arnold
2131,Rosario
2132,Funes
2133,La Vanguardia
2134,Roldan
2135,Carmen Del Sauce
2136,Correa
2136,San Geronimo
2136,San Jeronimo Sud
2138,Carcaraña
2138,Colonia El Carmen
2138,Semino
2139,Chañar Ladeado
2141,La Salada
2142,Campo Medina
2142,Ibarlucea
2142,Kilometro 323
2142,Lucio V. Lopez
2142,Luis Palacios
2142,Salto Grande
2142,Vicente Echeverria
2143,Ibarlucea
2143,Rosario
2144,Campo Horquesco
2144,Colonia Medici
2144,Larguia
2144,Totoras
2146,Clason
2146,Los Leones
2146,San Genaro
2147,San Genaro Norte
2147,Villa Biota
2148,Campo Castro
2148,Centeno
2148,Villa Guastalla
2149,Casas
2150,Lucio V Lopez
2150,Lucio V.Lopez
2151,Clason
2152,Granadero Baigorria
2153,Las Bandurrias
2154,Capitan Bermudez
2154,Juan Ortiz
2154,Kilometro 319
2154,Villa Cassini
2156,A D G S Lorenzo
2156,Borghi
2156,F Mtar S Lorenzo
2156,Fray Luis Beltran
2156,Granaderos
2156,Tte H Bouchard
2156,Villa Garibaldi
2156,Villa Margarita
2158,Fray Luis Beltran
2170,Candelaria Sud
2170,Casilda
2170,Colonia Candelaria
2170,Colonia La Costa
2173,Campo Pesoa
2173,Chabas
2173,La Merced
2173,Sanford
2173,Villada
2174,Sanford
2175,Barlett
2175,Villa Mugueta
2176,Villada
2177,Bigand
2179,Bombal
2181,Los Molinos
2183,Arequito
2183,La Viuda
2183,Los Nogales
2183,Pueblo Arequito
2184,Los Nogales
2185,C Toscana Primera
2185,C Toscana Segunda
2185,Campo Crenna
2185,S.J. De La Esquina
2185,San Jose De La Esquina
2186,San Jose De La Esquina
2187,Arteaga
2187,C Lago Di Como
2189,Colonia Los Vascos
2189,Cruz Alta
2200,Las Quintas
2200,P De S Lorenzo
2200,Pino De S Lorenzo
2200,San Lorenzo
2201,Ricardone
2202,Cerana
2202,Cullen
2202,El Transito
2202,Pueblo Kirston
2202,Puerto Gral San Martin
2204,Jesus Maria
2204,Timbues
2204,Timbues Jose Maria
2206,Campo Paletta
2206,Oliveros
2206,Rincon De Grondona
2208,Gaboto
2208,Maciel
